uuid,poll_uuid,option_text,created_at,updated_at
0120aeef-6930-49cd-a30c-9075ee0adf9a,7dd79ba1-6585-4597-a6c4-52ed8ca64e92,lectus pellentesque eget nunc donec quis orci,8/31/2025,8/31/2025
d3840330-be40-46d7-9052-3ffad5f2c733,1a550378-344e-45e2-8ac0-81fd42e9c2fc,nullam sit,8/31/2025,8/31/2025
f4a4b575-9878-4639-8714-49618c203852,ae9e9752-1613-44a7-90b4-c016ce2051a7,dapibus dolor vel est donec odio justo sollicitudin ut,8/31/2025,8/31/2025
3d30e7ac-ebbb-441d-9f14-c8c56c45c427,6fb3df73-315c-424d-a843-d49b305a3c2e,sed ante vivamus,8/31/2025,8/31/2025
2f859d83-8bf0-492c-9a15-b8e182dc3c30,0fb98a78-79ad-4352-b0fb-0143eb4e11c5,fermentum,8/31/2025,8/31/2025
7e839c45-f997-455d-a798-b9255085e459,74537152-20f6-45ae-b0d6-793139f50489,ligula sit amet eleifend pede libero quis orci,8/31/2025,8/31/2025
a5ad2e9e-d0ec-4c58-ada1-00b8ff84c87f,53e76ef7-eef2-4686-92d7-dd4667331896,nonummy integer non velit donec diam neque vestibulum,8/31/2025,8/31/2025
c52d8278-ee55-4166-acce-a8b24228ba7f,49564277-3e6a-4566-bdd9-b554c9d46a50,viverra pede ac diam cras pellentesque volutpat,8/31/2025,8/31/2025
5c764481-2650-4bef-bd2e-1c1cefc62d5f,6b2ee16e-2b06-4fa4-b9f5-62c46f849258,nulla nisl,8/31/2025,8/31/2025
dc98600a-0d24-4ed3-b1b8-d3de8f575549,5acd05ee-4f7f-4145-8eb6-f185db53ff7f,condimentum curabitur in libero ut massa volutpat,8/31/2025,8/31/2025
90ca4f04-4684-4f22-8833-a3c5c0820352,ae8b3ffe-3ef1-49ad-9740-0d1bfede7510,sit amet eleifend pede libero quis orci,8/31/2025,8/31/2025
f35a13cd-1f80-4a13-8e13-7884d6caba94,05c1cd88-fa74-4596-909b-bb5518be5adf,eu mi nulla ac enim in tempor turpis nec euismod,8/31/2025,8/31/2025
82efe413-1a68-49b6-9660-6196d06208f2,edd914e7-de89-4f7f-8c2b-6938e9303d47,ligula nec sem duis aliquam convallis,8/31/2025,8/31/2025
5605ba97-24c5-4e2a-81c4-75a6f611c0b5,b24caebf-4ef5-42a3-91be-cdb95b4858fa,lacinia aenean sit amet,8/31/2025,8/31/2025
02a1cd82-8ade-46d1-8c8d-db35cba3c5da,88eb8664-9e3f-4304-b72c-29f84a8fcb93,ut at dolor quis odio consequat varius integer ac leo,8/31/2025,8/31/2025
ea4fb689-415e-480a-8be2-afe65cbcc011,a1aef3d0-a157-400b-8ddb-fb36c9a9d678,quisque erat eros viverra eget congue eget semper,8/31/2025,8/31/2025
db1c9952-c31a-4b4d-9cde-5a7fd81a6dc2,48ddb7b7-8e21-42ed-bdbc-e842b6b92bac,pede,8/31/2025,8/31/2025
3694331e-8d4a-4b03-a3a1-a71104f2b096,b96d10eb-3a01-4691-a757-428bf6781343,elit,8/31/2025,8/31/2025
f25b58e4-f7ca-4a1e-ab3f-baa78b063521,6bad4e8f-7e52-45bc-9bea-a3528a7bcd03,vestibulum aliquet ultrices,8/31/2025,8/31/2025
ee8c7c08-db5e-4a2c-86cf-7ada1a983bce,21a4c005-6c62-46ca-bf3a-f06204bdf4de,justo maecenas rhoncus aliquam,8/31/2025,8/31/2025
f4de0664-d0c7-452f-8c8b-6b83388da9d3,1f56d773-218b-47d2-b2fd-a92e0392c64c,mus vivamus vestibulum,8/31/2025,8/31/2025
36e6eaec-ed9b-4743-9f72-17c369776a1c,670c995b-a614-493d-b738-db0d3380301f,nullam porttitor,8/31/2025,8/31/2025
0a6a4328-5652-406a-b2f9-0c9c2f8a98b3,84a36b9e-7e16-471c-a820-b4965a59f8a7,faucibus orci luctus et ultrices,8/31/2025,8/31/2025
1a16c4c4-397a-4bb6-afff-6018e5a5aff0,e035fb71-7ff5-42b4-9fb1-af6b3f3bb368,morbi ut odio cras mi pede malesuada,8/31/2025,8/31/2025
a1825db8-97f6-4306-ab6d-a4736555a076,764530e5-07d2-497e-abd3-1c9f44f6bb36,potenti,8/31/2025,8/31/2025
b704ef76-c26a-412e-a414-fb05b9b88a88,1b7d3f3d-cc66-43bb-ac28-72e8b933eb92,turpis nec euismod scelerisque quam turpis adipiscing,8/31/2025,8/31/2025
5181eac3-5edf-40a3-aa63-4314ca4a5428,46233c1c-0a27-4420-90be-0c52451a3daf,lorem id ligula suspendisse ornare consequat,8/31/2025,8/31/2025
19d683c3-39ea-4846-935a-3416cc41758c,b2d0bae4-b2e1-477a-86dc-66b8adcc9f2c,sapien dignissim vestibulum,8/31/2025,8/31/2025
069d9ff3-8f5e-46a2-8667-5f67214d2225,90848722-7548-411c-9966-fe8632ca149c,platea dictumst aliquam augue quam sollicitudin vitae consectetuer,8/31/2025,8/31/2025
eb277fdf-e21f-49a9-9f74-b23b4c207b0e,0aac1cb5-fee4-42fc-a694-cee5d5f17078,ac lobortis,8/31/2025,8/31/2025
e6cdffc6-8fb8-4b93-8262-fb90accae65f,19defa29-91ed-405d-b427-a6601d1de50a,ante ipsum,8/31/2025,8/31/2025
790e1f79-a2cb-4241-964c-b8041dab4218,714ec183-2bec-4cdf-a58a-1a3c41d7eadb,nibh in lectus pellentesque at nulla suspendisse potenti,8/31/2025,8/31/2025
5d477b02-87d2-43ee-be7c-075e337e36fd,88923d07-21fb-4391-995b-5c909b7c880c,tempus semper est quam pharetra magna,8/31/2025,8/31/2025
f71e7c86-3c6d-4195-a70d-0c454ef41cf6,4b3da0ef-9d1b-454a-b11b-aaa07991f7b3,sapien varius ut blandit non interdum in ante vestibulum ante,8/31/2025,8/31/2025
fd3f222b-8a10-459d-8bf5-a36a31442e8e,ea6c7a17-9dec-4fbd-81f5-c10151266233,ultrices aliquet maecenas,8/31/2025,8/31/2025
bc788aae-0eec-4e77-a0e3-88b1ebdc9325,cc642e49-3e68-44c3-a942-4891e80233cd,at dolor quis,8/31/2025,8/31/2025
e2435e19-854a-485e-8b2a-779eae697aa4,88a14309-da0f-4673-a7f5-b6161b3925aa,arcu adipiscing molestie hendrerit at vulputate,8/31/2025,8/31/2025
ded2803b-5396-49e0-b6fc-ab40537aeaa8,fa168d3b-a1b4-4529-b691-c119e82ca403,etiam pretium iaculis,8/31/2025,8/31/2025
93a9fdb6-01b8-4074-9e20-5823c11f3dff,cd7cd272-cb26-46f4-ae1a-f1a7e7199a6c,luctus et,8/31/2025,8/31/2025
82106cd5-4aa5-4162-af42-0f66b1878b2c,db48d8b2-7b37-428f-b6db-89b1ef7b234a,quis lectus suspendisse potenti in eleifend quam,8/31/2025,8/31/2025
c789e22a-a52e-457a-9a74-b76ddb08e067,804e63c3-f7ff-48eb-be34-5ee32560eee8,in porttitor pede,8/31/2025,8/31/2025
6149537d-cbcb-4bc0-9c8c-76a77903943f,58500cf1-1709-4ad9-85a0-c004624a538c,proin eu mi nulla ac enim in,8/31/2025,8/31/2025
febc9ee1-5f16-4ded-8943-ba2af54778d8,eb872e5f-3405-47ab-9271-aa5360fb8f3f,dapibus,8/31/2025,8/31/2025
33ac8406-09ba-4d02-886f-7f400080dca8,44db4c99-1f4f-42aa-aaf9-a74f2eb6a849,sed,8/31/2025,8/31/2025
20e41385-6789-4df9-b8a2-8c6d904a2048,448be81b-25eb-4d2b-9283-0538e881e715,dui vel nisl duis ac nibh fusce,8/31/2025,8/31/2025
5349e208-9f1e-4b5c-affa-a1fa9002a58e,0e874bf0-420e-4330-bc39-8f75072c650e,nisi nam,8/31/2025,8/31/2025
94dfd9d4-c1a5-4ff8-bb8f-7ae54078b167,f2664d43-0297-411d-b360-97c8b1ae786d,nulla sed accumsan felis ut,8/31/2025,8/31/2025
8b47c4ed-b769-4327-9eb8-6742d996f500,ef411c5d-5f63-41b0-9141-f393e27f9c3b,sed tristique in,8/31/2025,8/31/2025
d5cbf1f0-7595-42d1-97b3-e3a087fb5329,345def85-8de0-4860-abb5-2cb97f5a665f,ullamcorper augue a suscipit,8/31/2025,8/31/2025
324bc50a-bc2b-4e0f-b6bf-ec4f8743bcc7,200db7d4-dab9-4f8e-909f-2b05235c30ba,sit amet turpis elementum ligula,8/31/2025,8/31/2025
3626b84b-c5d8-4b5f-81dc-8308ad188fdf,ce750a2e-2b88-4483-9000-1343a2bee41a,tristique in tempus sit amet sem,8/31/2025,8/31/2025
7c0aaed2-ea42-4917-9951-944439d33dd4,f5e8c311-696b-4cd9-8fc9-54546d3a8284,ligula in lacus curabitur at ipsum ac tellus,8/31/2025,8/31/2025
57764236-2ea7-4f86-b571-5e9db31a51dc,6b098975-c25e-4b84-891c-88c021811729,mus vivamus,8/31/2025,8/31/2025
e38d3fc3-6266-4c7a-a78e-b220758790bd,d3efdf6f-365d-423f-8207-6124dce1296c,tempus vel pede morbi porttitor lorem,8/31/2025,8/31/2025
5a0c1403-77a1-43c0-afda-032f2f800850,048957c0-e1c1-4df1-9449-c997ab90d6f1,vel enim sit amet nunc viverra dapibus nulla,8/31/2025,8/31/2025
fe19aaa1-203a-40eb-8f3e-1e06290f0797,681735a1-daab-4d41-8292-69b5ffcb16eb,mauris non ligula pellentesque ultrices,8/31/2025,8/31/2025
73675d94-3cf6-4fec-80ce-88e579bd4fe5,2eb0904e-56dc-4769-b68f-d85a48d22b37,platea,8/31/2025,8/31/2025
c1882189-48a7-4dd5-973d-5038b464d252,52876bad-5708-49d5-9297-d9099e8f87bb,at nulla suspendisse potenti cras in purus,8/31/2025,8/31/2025
d4fd9bfb-be09-4e6f-9df0-725c2a41bc00,1b41900b-385b-4bde-b15b-ede9101ef10d,suspendisse potenti nullam porttitor lacus at,8/31/2025,8/31/2025
d9a3a860-f8b5-4117-a4b9-6ca16bb909e0,04227a56-36af-4981-9b00-41281bc2c63a,lacus curabitur at ipsum ac tellus,8/31/2025,8/31/2025
62d89590-bdb2-48ec-a948-d64282af9650,c2c9bace-7f8f-41cc-996e-471dc9aeb739,in est,8/31/2025,8/31/2025
19575bc7-4501-462f-bcba-f5b2193166d8,8e736267-a9c8-4ed6-975c-ce23aee1cbda,nulla eget eros elementum pellentesque,8/31/2025,8/31/2025
5f4758a5-b1ed-45fb-a60e-aac0feb83a74,6ffcab2f-bf5e-41e7-a99e-999bfa82300a,amet sem fusce consequat nulla,8/31/2025,8/31/2025
9f9538cb-e026-4c44-b0eb-2262f4d24dc7,c7776b78-1164-4637-9826-2ff4c6e49a60,consequat ut nulla,8/31/2025,8/31/2025
832a8821-f132-4398-abd2-a3410a486944,6f6aa7ff-84aa-4c1b-907a-e826a484b756,sociis natoque,8/31/2025,8/31/2025
971993cf-62bc-45f5-89be-179df2ca0405,b8851094-b1fd-48bb-9cae-effea7bbc43f,sit amet justo,8/31/2025,8/31/2025
768375f5-9562-482a-a9d8-af8ae17d850f,7af989f1-3587-4188-b2e9-c4212e36ddf2,integer non velit donec,8/31/2025,8/31/2025
a0ba1e0a-f2d3-4014-be4e-79941bfb83fb,a60e04e8-0ec9-40b9-bd3f-2d26e88faea6,donec posuere metus vitae ipsum,8/31/2025,8/31/2025
9bf87711-2647-44f9-9c0c-8a2b880701c7,2f180b23-8717-4b38-b2f9-12f22a8e20d8,consequat dui nec nisi volutpat eleifend donec ut dolor morbi,8/31/2025,8/31/2025
4890b877-fc8e-4395-8055-5f2fc82861b0,aab54c4d-ec91-4de9-b65c-decd57a10471,convallis morbi odio odio elementum eu interdum eu tincidunt,8/31/2025,8/31/2025
d4ea9062-a847-437c-9ae9-8894956822f3,4bb67f5a-744d-4c7a-897f-b0b6409efc8d,viverra,8/31/2025,8/31/2025
eece784b-595d-40cd-ae2b-dc70cce3d161,db1a10f1-8183-4f67-88b7-f96b74821daf,ac est lacinia nisi venenatis tristique fusce congue,8/31/2025,8/31/2025
2b36bd83-88f1-45aa-9510-04a139328ab2,a336929e-3695-4fc0-94e2-12a90ed0a847,purus phasellus,8/31/2025,8/31/2025
5d41d564-2943-4587-8820-88d5de66a93f,2e39e458-c9c7-4f74-b577-21c977cf0448,nec nisi volutpat eleifend donec ut dolor,8/31/2025,8/31/2025
6573a339-b439-4778-b85b-b2a672f4cec9,1866fc66-16ab-40c8-8bd6-e60320c310c3,hac habitasse platea dictumst maecenas ut massa,8/31/2025,8/31/2025
21527a8d-730a-4f96-9568-482bb85b8bde,46c55b07-afc6-41ff-9fe4-5a2ebb50dbe9,aliquam non mauris morbi non lectus aliquam sit amet,8/31/2025,8/31/2025
5262e563-04a5-4f7b-b2ec-13c6147d0657,ba25dbf3-443e-4a35-a050-5871a59c2375,quisque id justo sit amet sapien dignissim,8/31/2025,8/31/2025
ff61bce3-b08e-4dae-9034-f95f59789bd3,6b2b4626-89ab-4188-8353-3b1c32363e5f,at turpis donec posuere metus vitae ipsum,8/31/2025,8/31/2025
87599455-ae87-4959-a652-6aa292db8070,d2bbcd45-bbc4-4eb7-8d52-2ceafc2f08a1,est et tempus semper est,8/31/2025,8/31/2025
b407d13a-0099-4bff-b43a-78219e43c43b,3ba5c092-7ac2-4368-be80-59c255ddb2fe,id nisl venenatis lacinia aenean sit amet justo,8/31/2025,8/31/2025
e413f903-07c5-43fe-ba6b-db1072edc8b4,cffa05b3-1323-4103-8252-9c33573f160d,a suscipit nulla elit ac nulla sed vel enim sit,8/31/2025,8/31/2025
69f5030f-4f4e-4326-9468-28334b9896c2,e4dde9f9-c0f8-4e21-b8d1-1e456124e89b,orci pede venenatis non sodales,8/31/2025,8/31/2025
