uuid,user_id,title,description,poll_type,poll_category,created_at,updated_at
38e964a7-1d56-42b1-bc64-714b3baecd2e,7ecfd548-9acc-4457-ac1c-03ed37bb5a99,suspendisse potenti nullam porttitor lacus at turpis,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo,SINGLE_CHOICE,EDUCATION,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
62b21a3c-91e4-4b42-98e4-321583b0202d,8ef25761-4365-4f46-baad-3e44f7f2c6a2,quis orci eget orci vehicula condimentum curabitur in,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,SINGLE_CHOICE,TECHNOLOGY,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
638629cd-0829-428d-a71a-a5daae8f2b81,ca560a55-8a7b-464c-869c-760668c3b965,lobortis est phasellus sit amet,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,MULTIPLE_CHOICE,COMMUNITY,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
d7dbb156-e6b6-4f44-bc25-241c50e55886,6c0f77e0-21f6-4871-b616-1a3d43b41d28,gravida sem praesent id massa id,praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et,MULTIPLE_CHOICE,BUSINESS,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
efa57ba4-f6d6-4d87-adb7-7e72086a43ac,91911144-8605-4d5b-bee1-b3ed60ef2611,pede justo lacinia eget tincidunt eget,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,SINGLE_CHOICE,ENTERTAINMENT,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
ebd3f6e7-76cf-482f-b5c8-59437a4cbba1,fdfe07e5-4e94-4bd1-b23e-27f2a619855a,lobortis convallis tortor risus dapibus augue vel accumsan tellus,pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,SINGLE_CHOICE,COMMUNITY,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
aec7805c-b2cc-422d-a271-9a51f216290c,624cbd73-21ea-4361-9f88-052e16c57916,bibendum morbi non quam nec,curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla,SINGLE_CHOICE,EDUCATION,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
8051c6e3-3983-417b-9c19-98b96ee03d7f,5983d965-f57b-4ce7-9407-6bd25faabf94,neque vestibulum eget vulputate ut ultrices vel augue,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,SINGLE_CHOICE,TECHNOLOGY,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
3ed3fb59-f63e-44cd-bf2c-a4747a4d3f3b,9f351f26-ef08-4f3d-8b9c-32bbef40f5e4,nascetur ridiculus mus etiam vel augue,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,MULTIPLE_CHOICE,EVENTS,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
732982bc-1367-414b-a8b1-c24cdf634ff0,f15ba12d-b77f-4bd6-bcf9-42a258ea3a6a,ante vivamus tortor duis mattis egestas metus aenean,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,MULTIPLE_CHOICE,EVENTS,2025-08-31T00:00:00.000,2025-08-31T00:00:00.000
