uuid,user_id,poll_id,poll_option_id,created_at,updated_at
8b705848-22f2-4bfb-a095-57261cd2e500,dbe89533-9cf0-41a0-80d4-dba20d783942,c84bd1ec-dbdd-4e8d-be04-6dba825318bc,ab6fed02-ee49-4e94-8570-b881018472db,8/13/2025,5/4/2025
aa150bf6-f3f9-4159-aca8-af0d46500ca8,e4d39ecb-e352-4b02-be60-230dbaa9610b,c5357fc3-0635-43e0-82f9-e88c072957f3,a187d768-ace8-4912-9297-c33f41735920,2/22/2025,5/1/2025
e9b39cc8-6fcf-49ea-82af-d3f248dd7ec6,5bb51418-9864-4daf-b211-13c74dac2a43,e2a80a7f-eb4b-4ee0-a784-2a1a33ecfd68,aabc25dc-4440-4a32-9587-6a0834d243c6,1/17/2025,4/1/2025
3d1a62bb-f0ec-4c10-a521-69f1f6526181,08a914ab-91af-453b-9aaf-8606f9bff549,bd809ce1-ff83-4d49-8bbf-d6e0f1f0f252,8a7aadc3-fbf5-4d1b-b748-3f8e456ceb13,9/22/2024,3/14/2025
137dad98-bf16-4def-a070-d5092daa9765,aacfbc49-c78e-4cf4-8b1c-ffc108d85558,5222a19c-5282-4da3-87e2-24aaadfe706a,bfaf90e8-d08f-4153-bc2f-49fbb1ba349e,1/22/2025,7/29/2025
211702b7-214c-4df7-8565-fcf7ecdaab3d,19144ccd-627d-4567-a9dd-21e9d7225c26,153cdcc2-b869-475b-912c-df5d9506a44e,5643f8b1-970b-4725-a05e-6340acc42641,4/8/2025,3/24/2025
b3a6ba71-b2e7-4887-bc36-b060cce69120,8352b28e-2dee-4a82-9658-caa4d2ee4db8,7667cd3c-9f90-4014-9934-cd15eae54f6d,e6c6226c-2a16-48ef-92c4-7a9c1bcb6b4a,6/11/2025,9/4/2024
3f6d436c-e737-46c5-9355-9fbbbb681599,9962098b-8ac9-468f-820f-87c3cfcfbbfd,63c40357-9ad1-4633-a5c0-ad232c2743b3,edf83580-b88b-491d-a4ca-d48a6bc64b3c,10/1/2024,10/19/2024
923bbaf5-671d-4dbb-9194-2ed5ed538159,f5cde7c9-8f83-4b41-a6a9-4b29dbd161fa,bea4fc1a-b8f4-43f6-8397-90a01f5ff963,02565175-ee32-4b12-b39d-3305f6764e56,1/18/2025,7/26/2025
af0578cb-90ac-44b5-a20d-29e49732b1b0,b349d58f-3fa7-482e-9ff2-217bd5cb5027,dae47d76-2d37-40ef-872b-f9bf5cce770a,3ef520af-e86b-4b5f-b8d4-c06bbdc0650a,9/6/2024,5/21/2025
ebacfccf-926f-42da-8d98-7e4f83ac6bad,f09d209b-56d1-41a2-8b54-7c8a76322129,6999a900-c0d0-437e-8ddb-c6120038e1a0,04d83f46-0db0-4671-888a-4b63ae9a204c,10/27/2024,10/29/2024
bafcb060-b883-4afe-941d-722c8bccf3df,e9d576d4-711d-488d-9abb-ac2170019326,1ede8c19-07aa-41ea-84ea-f37a5d954b42,438cd9dc-957f-472d-931c-339184071981,6/16/2025,3/11/2025
4fa6ba22-1eae-433a-a82b-708101225c54,650233c2-a970-44cf-89b7-0d869ad23715,6e374b29-5e61-4a44-b3bb-dc2223d5359f,024537d8-6db2-413b-85f2-1afbd11abb75,2/11/2025,11/5/2024
0b275f38-2a63-4169-bcf3-e4869328f7bf,adc92744-c02e-42b4-b8a1-54071c4cdcab,f890bc5d-eb33-4401-a278-d14b7e6f1fc2,575c2612-46d4-4e9c-a1e9-894ba1b611de,5/20/2025,1/3/2025
